Sun Apr 14 07:50:44 2024 Epoch 80, rank:22, lr: 0.0032725, train loss: 0.53337, acc: 81.00600
Sun Apr 14 07:50:53 2024 Epoch 81, rank:22, lr: 0.0032351, train loss: 0.51498, acc: 81.65200
Sun Apr 14 07:51:03 2024 Epoch 82, rank:22, lr: 0.0031975, train loss: 0.52356, acc: 81.26800
Sun Apr 14 07:51:12 2024 Epoch 83, rank:22, lr: 0.0031597, train loss: 0.51821, acc: 81.69600
Sun Apr 14 07:51:22 2024 Epoch 84, rank:21, lr: 0.0031217, train loss: 0.51754, acc: 81.50600
Sun Apr 14 07:51:31 2024 Epoch 85, rank:21, lr: 0.0030836, train loss: 0.51357, acc: 81.89200
Sun Apr 14 07:51:41 2024 Epoch 86, rank:21, lr: 0.0030454, train loss: 0.50643, acc: 81.88400
Sun Apr 14 07:51:50 2024 Epoch 87, rank:21, lr: 0.0030070, train loss: 0.49894, acc: 82.19200
Sun Apr 14 07:52:00 2024 Epoch 88, rank:21, lr: 0.0029685, train loss: 0.49600, acc: 82.30000
Sun Apr 14 07:52:09 2024 Epoch 89, rank:21, lr: 0.0029298, train loss: 0.49898, acc: 82.12600
Sun Apr 14 07:52:19 2024 Epoch 90, rank:21, lr: 0.0028911, train loss: 0.48970, acc: 82.65200
Sun Apr 14 07:52:28 2024 Epoch 91, rank:21, lr: 0.0028523, train loss: 0.48327, acc: 82.55200
Sun Apr 14 07:52:37 2024 Epoch 92, rank:21, lr: 0.0028133, train loss: 0.48343, acc: 82.70400
Sun Apr 14 07:52:46 2024 Epoch 93, rank:21, lr: 0.0027743, train loss: 0.48308, acc: 82.65800
Sun Apr 14 07:52:56 2024 Epoch 94, rank:20, lr: 0.0027353, train loss: 0.47711, acc: 82.98000
Sun Apr 14 07:53:05 2024 Epoch 95, rank:20, lr: 0.0026961, train loss: 0.47421, acc: 83.20000
Sun Apr 14 07:53:15 2024 Epoch 96, rank:20, lr: 0.0026570, train loss: 0.46675, acc: 83.46200
Sun Apr 14 07:53:24 2024 Epoch 97, rank:20, lr: 0.0026178, train loss: 0.46281, acc: 83.46400
Sun Apr 14 07:53:34 2024 Epoch 98, rank:20, lr: 0.0025785, train loss: 0.46330, acc: 83.61200
Sun Apr 14 07:53:43 2024 Epoch 99, rank:20, lr: 0.0025393, train loss: 0.46325, acc: 83.42400
Sun Apr 14 07:53:53 2024 Epoch 100, rank:20, lr: 0.0025000, train loss: 0.46351, acc: 83.49400
Sun Apr 14 07:54:03 2024 Epoch 101, rank:20, lr: 0.0024607, train loss: 0.45006, acc: 83.96200
Sun Apr 14 07:54:12 2024 Epoch 102, rank:20, lr: 0.0024215, train loss: 0.45153, acc: 83.79600
Sun Apr 14 07:54:22 2024 Epoch 103, rank:20, lr: 0.0023822, train loss: 0.44195, acc: 84.23000
